event_date,spot_id,conteo_vistas
20250529,43214,1
20250529,18951,4
20250529,23280,1
20250529,38852,1
20250529,49019,2
20250529,47202,1
20250529,2110,2
20250529,47086,1
20250529,53248,1
20250529,29206,4
20250529,45050,2
20250529,35057,1
20250529,28545,2
20250529,39163,1
20250422,47050,2
20250422,8499,32
20250422,5311,2
20250422,47285,75
20250422,47244,61
20250422,47080,3
20250422,47131,11
20250422,18650,1
20250422,38589,2
20250422,40915,1
20250422,44908,3
20250422,499,4
20250422,46937,4
20250422,33221,1
20250422,47162,13
20250422,47313,1
20250422,26681,2
20250422,23551,1
20250422,25831,1
20250422,38763,2
20250422,20590,2
20250422,28498,1
20250422,33985,2
20250422,32660,1
20250422,28546,4
20250422,33666,1
20250422,18951,6
20250422,46967,4
20250422,46023,1
20250422,13468,2
20250103,35645,1
20250103,31576,1
20250103,28191,1
20250103,15218,2
20250103,36863,7
20250103,14096,1
20250103,11014,1
20250216,618,1
20250216,15712,2
20250216,37232,1
20250216,14516,2
20250216,34765,1
20250216,15667,3
20250331,36193,2
20250331,43805,1
20250331,27330,5
20250331,28791,2
20250331,35509,1
20250331,43303,1
20250331,36473,1
20250331,5359,1
20250331,36474,2
20250331,41702,1
20250331,14537,1
20250331,36577,2
20250331,24971,1
20250331,32721,1
20250331,35297,1
20250331,32994,1
20250331,28594,1
20250331,29123,4
20250331,38675,2
20250331,5311,7
20250331,34878,3
20250331,45148,1
20250521,28675,1
20250521,53310,5
20250521,36382,2
20250521,39068,2
20250521,46318,3
20250521,37764,2
20250521,44836,1
20250521,38846,7
20250521,15259,2
20250521,18017,1
20250521,41872,1
20250521,40965,2
20250521,36390,1
20250521,43380,2
20250521,35025,1
20250521,46959,4
20250521,48528,7
20250521,48575,1
20250521,41447,4
20250521,37851,1
20250521,51353,9
20250521,48779,1
20250521,500,2
20250521,23238,1
20250521,32283,1
20250521,38082,3
20250521,26879,2
20250521,51233,3
20250521,2463,2
20250521,18271,6
20250521,9896,1
20250521,46967,4
20250521,45034,7
20250521,49336,2
20250521,42138,1
20250521,35593,3
20250521,1777,2
20250521,45476,3
20250521,37194,2
20250521,46937,5
20250521,30979,2
20250521,28543,1
20250521,39947,1
20250521,46886,5
20250312,28494,1
20250312,12758,3
20250312,37780,1
20250312,38265,1
20250312,41089,8
20250312,28245,3
20250312,42327,1
20250312,29509,1
20250312,42365,1
20250312,31212,1
20250312,42616,1
20250312,14938,1
20250312,31057,1
20250312,42416,1
20250312,23568,1
20250312,30201,1
20250312,31719,1
20250312,35456,9
20241208,34890,2
20241208,26063,8
20250307,33156,1
20250307,14594,9
20250307,38432,1
20250307,43354,1
20250307,31831,2
20250307,35403,1
20250307,35640,1
20250307,36249,1
20250307,28151,1
20250307,29566,1
20250307,17982,2
20250307,18268,1
20250307,19836,1
20250307,29076,1
20250307,37210,3
20250307,35280,2
20250307,29721,1
20250530,45465,3
20250530,47392,4
20250530,13391,1
20250530,15594,1
20250530,12758,1
20250530,49054,2
20250530,982,1
20250530,32754,1
20250530,54919,1
20250530,27997,1
20250530,54757,1
20250530,23347,1
20250530,41684,1
20250530,23369,1
20250530,23278,1
20250530,22298,1
20250530,42030,1
20250530,49642,1
20250530,48872,1
20250503,45731,1
20250503,37080,1
20250503,23207,1
20250503,15697,1
20250503,30005,4
20250503,43845,1
20250503,23449,1
20250503,40990,1
20250503,44908,1
20250503,18263,1
20250503,31015,1
20250503,46959,1
20250503,13578,1
20250503,32104,1
20250503,46302,2
20250504,32518,3
20250504,35964,1
20250504,28470,1
20250504,19826,1
20250504,27811,1
20250504,36279,1
20250504,26910,1
20250507,27844,9
20250507,39347,5
20250507,40061,1
20250507,36990,1
20250507,49830,1
20250507,37072,1
20250507,1759,1
20250507,11420,1
20250507,18265,1
20250507,44282,1
20250507,13618,5
20250507,2168,3
20250507,41750,1
20250507,36932,1
20250507,45555,1
20250507,44876,5
20250507,42406,2
20250507,36982,3
20250507,27505,1
20250507,42394,2
20250507,37076,10
20250507,36917,1
20250507,46937,3
20250507,44124,1
20250507,46992,1
20250507,47836,2
20250507,45816,1
20250507,2547,3
20250507,23570,1
20250507,11481,1
20250507,2979,2
20250507,34788,3
20250507,34843,1
